"age","income","meanhourswatched","Film1","Film2","Film3","Film4","Film5","Film6","Film7","Film8","Film9","Film10"
41,69.98,47.66,"Children of the Struggle","Uttoran","Free Frenchman, The","Swingin' in the Painter's Room","Spaceman","Boys of Venice, The","Sister Helen","Beer Muscles","Clase z tropical","More Than Famous"
55,60.18,18.93,"Plus rien...","Tsisperi mtebi anu arachveulebrivi ambavi","Slavoj Zizek: The Reality of the Virtual","Vacant Possession","Big Question, The","Gotejar da Luz, O","Planetata na sakrovishtata","Paris Chausey","Manipulation","Tie Xi Qu: West of the Tracks - Part 1: Rust"
20,55.38,6.26,"Cicadas","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty","Paris minuit","Guarding Eddy","Shotgun Wedding","BattleGround: 21 Days on the Empire's Edge","Able's House Is Green, The","Dance of the Weed","Slyozy kapali","Up Uranus!"
70,120.98,4.75,"Rokoko","Eternal Embrace","Descent","Nozze di Figaro, Le","Aurelia Steiner (Melbourne)","Autorequiem","Copi, je t'aime","Sommer der Liebe","Veronika's Birthday","Kehrwoche"
66,77.01,6.46,"Amazones 2000","Uttoran","Unborn","Edward Said: The Last Interview","Halmat na borovinkite","That Lady From Peking","Nadare","Shyamchi Aai","Three Barbecues: A Blackened Comedy","Namukku Parkkan Munthiri Thoppukal"
52,44.87,8.66,"Ister, The","Ammazzali tutti e torna solo","Freaks Uncensored!","MGM Sarajevo: Covjek, Bog, Monstrum","Trishagni","Biyaya ng lupa","Konyok-gorbunok","In der Fremde","Epilog","Big Question, The"
21,75.76,29.1,"Unconquered, The","Young Gentlemen","Hausu","Ovo malo duse","Home for the Bullets, A","Complex Sessions, The","Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Taken for a Ride","Fazilet","Strangers"
43,76.65,15.24,"TankUp.US","Shao Lin san shi liu zhu","Kitchen Soup for the Soul","Screw","Tosca","Gene Autry, Melody of the West","Blue Bird, The","Ren Sheng","Kom tillbaka","San ge heshang"
21,69.55,27.93,"Dohyosai","Halmat na borovinkite","Kommunist","Amants de Teruel, Les","Satsujin kyo jidai","One of Us","Young Gentlemen","En la palma de tu mano","Our Country","Iparhi kai filotimo"
58,74.97,17.16,"Dimensia Minds Trilogy: The Hope Factor","Paraiso","Letters of Service","Kommunist","Sagara Sangamam","Most","Thanatopsis","Matelas, Le","Sylvia, rimembri ancora?","To Be Alive!"
59,71.82,75.67,"Atrapados","Mystic Motel, The","Latitude Zero","Baxter, The","Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Goodnight Bill","Thisavros tou makariti, O","Sofi","Halmat na borovinkite","Akatsuki no dasso"
62,57.05,38.67,"Art Pepper: Notes from a Jazz Survivor","Trafico, El","Atsidas, O","Satyakam","BattleGround: 21 Days on the Empire's Edge","Amazones 2000","If","Enoken no chakiri kinta 'Zen' - Mamayo sandogasa - Ikiha yoiyoi","America the Beautiful","Masochist"
43,72.3,98.3,"Uncrating and Assembly of the P-47 Thunderbolt Airplane","Silent Call, The","Innocence Project, The","Bingo! The Documentary","Paris minuit","Menq enq, mer sarere","Mord und Totschlag","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty","Pranzo onirico, Il","Visit from the Incubus, A"
28,101.86,5.18,"Bang Bang","Put More Blood Into the Music","Trollywood","Spandex: A Father's Tale","Silent Whispers","Terrorists","Dance of the Weed","Hotel Torgo","Akkareakkareakkare","Sky of an Archangel"
36,65.64,8.91,"Uramisten","Palacio presidencial!","Obyknovennoye chudo","Terrorists","River, The","Iparhi kai filotimo","Chases of Pimple Street, The","Emily's Last Date","Brothers... On Holy Ground","Devils Are Dreaming"
21,73.06,54.9,"Bharatham","Halmat na borovinkite","Dirty Diamonds","Nicole's Revenge","Cape of Good Hope","Three Barbecues: A Blackened Comedy","Hippie Highway","Evil Surprise, The","MGM Sarajevo: Covjek, Bog, Monstrum","Mil e Uma"
21,63.72,4.5,"Ladendiebstahl","Up Uranus!","Buck Privates","Matanza","2wks, 1yr","Out of the Rain","Travail","Jonas","Veronika's Birthday","Fratii Jderi"
19,77.56,113.27,"Meteo","Young Americans","Reshimat Ahava","Causality","Half Sister","Judy's Time","Middle of the Moment","Dozen Kliks, A","Three of Us, The","Cachorros"
40,72.21,27.43,"Mr. James and the Plug of Mystery","Drifting","Last Man Running","Film Geek","Celebration: The Music of Pete Townshend and The Who","Sigmund the See Monster","Sandcastles","America 101","Missionary Positions","Neurosia - 50 Jahre pervers"
29,103.04,48.08,"Canceled Lives: Letters from the Inside","Able's House Is Green, The","So Many Miracles","River, The","Sexual Ecstasy of the Macumba","Nieuwe gronden","Orekhovyy khleb","Chases of Pimple Street, The","Titanic vals","Up Uranus!"
57,66.53,19.74,"Enter Achilles","Western","Looking Up","Dark Agent and the Passing of the Torch Chapter 7, The","Marathon","Wachsexperimente","Cut and Run","Change Up","Birth of a Robot","Saturday Night at the Palace"
51,54.57,7.9,"Catene","Buck Privates","Halfway Point","Paris Chausey","Causality","New World, The","Snegurochka","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The","Shopping Part, The","Verdugo, El"
53,100.44,92.92,"Dance of the Weed","America the Beautiful","Sundown","Erosu purasu Gyakusatsu","Thanatos","Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Cape of Good Hope","Ina, kapatid, anak","Privarzaniyat balon","Handvoll Helden, Eine"
68,63.47,15.44,"Planetata na sakrovishtata","Shojo Hanazono","Baiju Bawra","Escuela de vagabundos","Baddegama","Story from Bhutan: The Making of 'Travellers & Magicians', A","Scomparsa","Garriage: A Documentary in 4 Chapters and an Epilogue","Adamah","To Be Alive!"
44,70.77,86.13,"Descent","Inseguito","Catene","Grass Arena, The","Simulacrum","BattleGround: 21 Days on the Empire's Edge","Ukamau","Dimensia Minds Trilogy: The Hope Factor","Diary of a Bad Lad","Himala"
18,78.85,20.62,"Mala","Burning the Grump","Lachenite obuvki na neznayniya voin","Neurosia - 50 Jahre pervers","Perfect Candidate, The","Escuela de vagabundos","Sexual Ecstasy of the Macumba","TankUp.US","Good Fight, The","Space Available"
49,56.24,45.77,"Super Bitchin' Muscle Car","Land of Look Behind","Ciprian Porumbescu","Tino","Leng mian hu","Macabre Pair of Shorts","Nadodikkattu","Deep Down in Florida","Reasonable Hypothesis, A","Wide Asleep"
57,89.29,120.58,"Precious Images","Car Trouble","P mesle pelican","Darcy's Off-White Wedding","Grande Mentecapto, O","Drifting","Na voyne, kak na voyne","Andalousie","Super Bitchin' Muscle Car","Man on the Moon, The"
54,44.54,27.69,"J-K Conspiracy, The","Nicole's Revenge","Quincy's Quest","Enoken no chakiri kinta 'Zen' - Mamayo sandogasa - Ikiha yoiyoi","Children of the Struggle","Familia de tantas, Una","Body Language","Art Pepper: Notes from a Jazz Survivor","Weg ist das Spiel, Der","Sembilu II"
26,79.9,138.05,"D.I.Y. or Die: How to Survive as an Independent Artist","Okkadu","Fishing for Love","Buck Privates","You Are Not I","Apartment 206","BattleGround: 21 Days on the Empire's Edge","Bleach","Breakup Film, The","Shojo Hanazono"
27,94.68,3.38,"Gardiens de phare","Mystic Motel, The","Mukta","Eating","Matanza","Handicap","Ai to nikushimi no kanata e","You Are Not I","Byalata staya","Strange Aeons"
38,46.49,31.75,"Last Stand","Etat","His Highness Abdullah","Man Who Invented the Moon","Namukku Parkkan Munthiri Thoppukal","Night of the Dog","Theory of Revenge","Diary of a Bad Lad","Big Question, The","Missy"
66,59.05,1.92,"Era outra vez","Complex Sessions, The","Morometii","Wana","Fishing for Love","America the Beautiful","Date, The","Sakura no sono","Marathon","Nieuwe gronden"
36,62.22,7.95,"Challenge","Learning to Swim","Tres tristes tigres","Obedience","Izpit","Fishing for Love","Jesus the Driver","Distinto amanecer","Silver Bells","TankUp.US"
67,77.3,39.2,"Kyriakatiko xypnima","Sexual Ecstasy of the Macumba","PX","D-Day Remembered","Dimensia Minds Trilogy: The Hope Factor","Winter","Mboutoukou","Weg ist das Spiel, Der","Tie Xi Qu: West of the Tracks - Part 2: Remnants","Visit from the Incubus, A"
36,64.96,3.4,"Deathdealer: A Documentary","Dalu","Timekeeper, The","Here After","David Nelson Live","Taste the Sweat!","Middle of the Moment","Body Language","Plus rien...","Perils in Nude Modeling"
45,88.33,43.01,"Titanic vals","Breakup Film, The","Klezmer on Fish Street","Grass Arena, The","Staromodnaya komediya","Peaceable Kingdom","Halmat na borovinkite","Noam Chomsky: Personal Influences","How to Be a Model (A 12 Step Plan)","Distinto amanecer"
27,59.88,12.89,"Chanoc y el hijo del Santo contra los vampiros asesinos","Khamoshi","Milton Is a Shitbag","Mighty Times: The Legacy of Rosa Parks","Timekeeper, The","Stay Clean","Wind Effect, The","Lebewohl, Fremde","Brothers... On Holy Ground","Jantjes, De"
30,83.64,5.01,"State of Wonder","Iarna bobocilor","To Be Alive!","MGM Sarajevo: Covjek, Bog, Monstrum","Future of Food, The","Adaptatziya","Herrenpartie","Sylvia, rimembri ancora?","Totul pentru fotbal","Volshebnoye koltso"
65,102.79,11.68,"Yurusarezaru mono","Innocence Project, The","Stay Clean","Funeral de los dedos, El","Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Ekdromi, I","+1 -1","Goodnite Charlie","Doing Time, Doing Vipassana","Losing Ground"
68,55.9,179.29,"Black Canyon","Sacred Is the Flesh","Best Hotel on Skid Row","Wow and Flutter","Sveto mesto","Derniers feux","Mighty Times: The Legacy of Rosa Parks","Wind Effect, The","Ister, The","Totul pentru fotbal"
27,79.17,12.45,"Enoken no chakiri kinta 'Zen' - Mamayo sandogasa - Ikiha yoiyoi","Whistlin' Dixie","Spaceman","Bronx Cheers","Boy-Next-Door","Miracle Goes On, The","Off","Thanks for Nothing","Mind Game","Home Improvements"
66,65.26,38.25,"Derniers feux","Fara","Car Trouble","Hamster PSA","Freak Orlando","Murs du silence, Les","Grass Arena, The","Chernov/Chernov","Abduction of Figaro","So Many Miracles"
66,44.56,66.41,"Kradetzat na praskovi","Tosca","Sieg, Der","What Is Funny?","Handvoll Helden, Eine","Alone Across Australia","American Beer","Cheshmane John Malkovich","Thisavros tou makariti, O","Miracle des loups, Le"
44,78.27,30.47,"Mind Game","Oil on Ice","Cerebrium","Maso et Miso vont en bateau","Among Thieves","Pony","Hopscotch","Tarheels and Short Skirts","Tabiate bijan","Jantjes, De"
46,75.88,54.55,"Andalousie","One of Us","Nackte Mann auf dem Sportplatz, Der","Two Days with Juliet","Satellite","Up Uranus!","Flip","Kakabakaba ka ba?","Radevou ston aera","Middle of the Moment"
53,71.83,29.13,"Radevou ston aera","Satyakam","Able's House Is Green, The","Michel J","Udzinarta mze","Garriage: A Documentary in 4 Chapters and an Epilogue","Bronx Cheers","Da no tien gu","Fazilet","Yurusarezaru mono"
49,83.07,29.73,"Nearly Unadventurous Life of Zoe Cadwaulder, The","MGM Sarajevo: Covjek, Bog, Monstrum","Fim de Festa","Simulacrum","Fim de Festa","Thanks for Nothing","Pee Shy","Wired 03:36","Birth of a Robot","Shock Act"
31,40.84,9.42,"Dimensia Minds Trilogy: The Reds","Volshebnoye koltso","Swingin' in the Painter's Room","Mil e Uma","Western","Freaks Uncensored!","Ukamau","Pushpak","Shopping Part, The","Volshebnoye koltso"
45,43.76,209.21,"+1 -1","Sandcastles","Sexual Ecstasy of the Macumba","Amor","Rain, Drizzle, and Fog","Blind","Akkareakkareakkare","Murder Act One","Focus Group","Metropolitan"
56,65.4,1,"Paris Chausey","Gundamma Katha","Pee Shy","Here After","Breathing Lessons: The Life and Work of Mark O'Brien","Viaje sin destino","Ponchada","Totoong buhay ni Pacita M., Ang","Laatste Joegoslavische elftal, Het","Pillowfight"
28,71.8,27.83,"Guarding Eddy","Baxter, The","Tom's Wife","Nun Fu","Clase z tropical","Breathing Lessons: The Life and Work of Mark O'Brien","Rent's Due","Cachorros","Secretul lui Bachus","Spaceman"
23,81.24,7.92,"Outside","Starting Up","New World, The","Cerebrium","Able's House Is Green, The","Soul to Soul","Devils Are Dreaming","Fado majeur et mineur","Story","Meet the Stars: Meet Roy Rogers"
29,43.01,5.96,"Svatbite na Yoan Asen","Arc","Step Across the Border","Ivan Groznyy III","Evolver: Making of Youthanasia","Mond im Skorpion","Curtis","Kradetzat na praskovi","Rokoko","Wild Girls Gone"
23,50.61,52.63,"Sandcastles","Chasing the Edge","Dvoynikat","Deathdealer: A Documentary","Igazi Mao, Az","Losing Ground","Throwing Down","Three Barbecues: A Blackened Comedy","Kamiondzije opet voze","Sanada Yukimura no bouryaku"
67,77,58.75,"Children of the Struggle","Strangers","Garriage: A Documentary in 4 Chapters and an Epilogue","Story from Bhutan: The Making of 'Travellers & Magicians', A","Aufbruch, Der","Take It Back","Morphin(e)","His Highness Abdullah","American Yearbook","Ennio Morricone: la musica negli occhi"
25,84.48,17.79,"Nahapet","Shotgun Wedding","Pony","Gotejar da Luz, O","Ballad of Courtney & James, The","Tres tristes tigres","Island, The","Juggler of Our Lady, The","Nemuri Kyoshiro 3: Engetsugiri","Silencio"
49,74.14,13.16,"Akatsuki no dasso","American Beer","Pulso, O","Cog","Free Frenchman, The","Blind","Plus rien...","Oath, The","Looking Out","Ai to nikushimi no kanata e"
41,92.69,300,"Optimisticheskaya tragediya","Zenith","Stay Clean","Blue Bird, The","Thunder in Guyana","Sledvay me","Maison de jade, La","Tak for Alt: Survival of a Human Spirit","Chases of Pimple Street, The","Champions of the World"
65,68.01,2.3,"Ina, kapatid, anak","Perfect Eyes","That Thing We Do","Offering, The","Sister Helen","Kaidan Oiwa no borei","Overtime","Dani, Michi, Renato & Max","Kureopatora","P mesle pelican"
48,64.34,3.51,"Tis kakomoiras","Wow and Flutter","Film Geek","Stalked","Memory of Justice, The","Mani","Gotejar da Luz, O","Stalked","Sylvia, rimembri ancora?","Juggler of Our Lady, The"
20,92.67,68.97,"Goodnight Bill","Miracle des loups, Le","Henry and Marvin","Breakup Film, The","Berge in Flammen","Shans","American Beer","Myster General, The","Dani, Michi, Renato & Max","Slavoj Zizek: The Reality of the Virtual"
45,57.01,46.1,"Tarheels and Short Skirts","Focus Group","Pranzo onirico, Il","Mind Game","Three Sisters on Moon Lake","Optimisticheskaya tragediya","Timekeeper, The","Shotgun Wedding","Freak Orlando","Bang Bang"
19,60.27,49.18,"Baiju Bawra","Burying Dvorak","Devil Talk","Last Man Running","Bunker - Die letzten Tage","Palacio presidencial!","V chetverg i bolshe nikogda","Verdugo, El","Mond im Skorpion","Tis kakomoiras"
71,72.38,32.8,"Memories of War","Edward Said: The Last Interview","Children of the Struggle","Born In Freedom: The Story of Colonel Drake","Privarzaniyat balon","Tie Xi Qu: West of the Tracks - Part 1: Rust","Fazilet","Western","Masochist","Carlos Castaneda: Enigma of a Sorcerer"
48,69.01,16.92,"Marathon","Tasty","Monster Road","Henry and Marvin","Tis kakomoiras","Adaptatziya","Whistlin' Dixie","From Sam","+1 -1","Pony"
22,52.37,29.76,"Manipulation","Sylvia, rimembri ancora?","Mani","Missy","Sagara Sangamam","Private Road","Shinobugawa","Tie Xi Qu: West of the Tracks - Part 1: Rust","San ge heshang","Chases of Pimple Street, The"
70,54.43,38.48,"Burying Dvorak","Enoken no chakiri kinta 'Zen' - Mamayo sandogasa - Ikiha yoiyoi","Original Schtick","Kehrwoche","Allegro ma non troppo","Metropolitan","Epilog","Quintrala, La","Aurelia Steiner (Melbourne)","Relasyon"
35,111.49,15.2,"David Nelson Live","Unborn","Velvet and Rat Skins","Throwing Down","Day Out, A","Kradetzat na praskovi","Defilada","Anuradha","Silent Call, The","Click Three Times"
51,38.92,23.73,"Robin's Nest","Blue in Green","Self Defense... for Cowards","You Are Not I","Mr Firecul","Idealist","Hombre de la esquina rosada, El","War Story","Birth of a Robot","Curtis"
63,58.15,101.81,"Akkareakkareakkare","Self Defense... for Cowards","Myster General, The","Eating","Moondram Pirai","Sigmund the See Monster","Chasing Daylight","Sardar","Pianeta azzurro, Il","Otto ga mita 'Onna no kabako' yori"
69,75.62,8.72,"Jonas","Dating","No abras nunca esa puerta","Blaze Orange","Velichieto na hana","Miami","Mirt Sost Shi Amit","Children of the Struggle","Aru eiga-kantoku no shogai","Pushpak"
56,61.99,2.99,"Na voyne, kak na voyne","Right Here, Right Now","Birth of a Robot","Sagara Sangamam","Blue Bird, The","Libby, Montana","Sister Helen","Bharatham","Chords of Fame","Driving Fish"
64,75.14,76.86,"Adaptatziya","100 Years at the Movies","Satyakam","Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Evolver: Making of Youthanasia","Vers l'Inde","Affittasi appartamento","Testament of Tom Jacoby, The","Good Fight, The","Tailspin Tommy in The Great Air Mystery"
59,69.15,68.97,"Sister Helen","Self Defense... for Cowards","Taken for a Ride","Boy-Next-Door","Blood of the Beast","Classic Queen","Message From Moonbase Alpha","Stay Clean","Hippie Highway","Kommunist"
19,79.72,49.23,"Vestido, O","Mighty Times: The Legacy of Rosa Parks","Curtis","Cog","Out of Our Dens: The Richard and the Young Lions Story","Soliloquy","Sommer der Liebe","Start of Something, The","Pulso, O","Libby, Montana"
47,71.35,4.73,"Dating","Ningen no joken III","Sky of an Archangel","Weg ist das Spiel, Der","Perfect Candidate, The","Crazy Love","America's Sweetheart: The Mary Pickford Story","Blue Bird, The","Thanatos","Emily's Last Date"
45,94.14,250.72,"Epilog","Uttoran","Dating","Codename: Simon","Tis kakomoiras","Inexplicable","Martin Four","Leng mian hu","Trishagni","Self Defense... for Cowards"
31,77.5,14.5,"Taste the Sweat!","Maison de jade, La","Clase z tropical","Sembilu II","Krylya","Ai to nikushimi no kanata e","State of Wonder","Aien kyo","Epilog","Shopping Part, The"
34,65.03,6.39,"Chasing the Edge","Meet the Stars: Meet Roy Rogers","Cashback","Obedience","Affittasi appartamento","Legenda o Tile","Point Five","Sagara Sangamam","Sister Helen","Skazki... skazki... skazki starogo Arbata"
58,67.22,19.05,"King of the Hill","Tres tristes tigres","Tsisperi mtebi anu arachveulebrivi ambavi","Leila Diniz","Groove Requiem in the Key of Ski","In girum imus nocte et consumimur igni","Blue in Green","Dusk","Innocence Project, The","Selubung"
26,85.14,13.33,"Zenith","Grande Mentecapto, O","Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Wild Girls Gone","Ai-Fak","Sembilu II","Burying Dvorak","Ivan Groznyy III","In der Fremde","Hardwood Process"
67,97.27,15.45,"Jojo in the Stars","Car Trouble","Young Gentlemen","Baddegama","Libby, Montana","Berge in Flammen","Memory of Justice, The","Mboutoukou","Dieses Jahr in Czernowitz","Tosca"
54,73.11,3.46,"Portile albastre ale orasului","Tea with Tiffany","America 101","Dolor de pagar la renta, El","Big Question, The","Otto ga mita 'Onna no kabako' yori","100 Years at the Movies","Out of the Rain","Chasing the Edge","Unbekannte Deserteur, Der"
50,73.43,4.12,"Luba","Visit from the Incubus, A","Gundamma Katha","Drifting","Sakura no sono","Cabina, La","Shojo Hanazono","Matanza","Among Thieves","Change Up"
36,85.03,23.16,"Step Across the Border","Studie Nr. 10","Darcy's Off-White Wedding","PX","Justicero, El","Wilna Zona","Put More Blood Into the Music","Baxter, The","Shopping Part, The","Iarna bobocilor"
67,64.99,44.29,"F*Stop","Clown","Reshimat Ahava","Damned If You Don't","Uncrating and Assembly of the P-47 Thunderbolt Airplane","Juggler of Our Lady, The","Paris minuit","Wired 03:36","Obyknovennoye chudo","Sigmund the See Monster"
28,57.51,253.74,"Godfather, The","Alone Across Australia","Out-of-Body Experience","Nadodikkattu","Taffy Was Born","Aufbruch, Der","Whistlin' Dixie","Icarus Descending","Enter Achilles","Safar barlek"
40,70.83,25.5,"There's Something About a Soldier","Shura","Rider Pride","Taffy Was Born","Names of Sin","Croaziera","Middle of the Moment","Herrenpartie","Herrenpartie","Fado majeur et mineur"
54,56.64,2.28,"Family Portrait","Aien kyo","Ukamau","Focus","Trafico, El","Bachelor Tom Peeping","Apartment 206","Click Three Times","Neurosia - 50 Jahre pervers","Ringgit Kasorrga"
36,46.54,37.1,"Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The","Vestido, O","Eating","Halfway Point","Matriarhat","Shinobugawa","Of Age","Clase z tropical","Hot Java","Shock Act"
69,82.76,132.33,"Icarus Descending","Pelli Chesi Choodu","Maison de jade, La","Cookery for Men","Tis kakomoiras","Viaje sin destino","V chetverg i bolshe nikogda","Matanza","Gene Autry, Melody of the West","Rider Pride"
24,83.83,95.9,"Leila Diniz","Khaneh siah ast","Last Man Running","Akatsuki no dasso","Ride, The","Film Geek","Sexual Ecstasy of the Macumba","Monique, Lip I","Idealist","Viaje sin destino"
44,77.05,139.9,"Bang Bang","Sailor in the Wild","Swingin' in the Painter's Room","If","Bronx Cheers","Karl May","Chernov/Chernov","Sonho de Rose - 10 Anos Depois, O","Historia de un gran amor","Boy-Next-Door"
39,71.12,40.72,"Joyce Story, A","Parking","Innocence Project, The","I Wish My Beer Was as Cold as Your Heart","Manipulation","Perfect Candidate, The","Throwing Down","America the Beautiful","Fronterz","Sailor in the Wild"
20,95.43,49.13,"Slonyonok","To Render a Life","Bleach","Blake's Junction 7","American Beer","Goodnight Bill","American Yearbook","Shock Act","Sexual Ecstasy of the Macumba","Meteo"
32,79.98,43.49,"Maledetta mia","Directing Rye","Ride","Tsisperi mtebi anu arachveulebrivi ambavi","Art Pepper: Notes from a Jazz Survivor","Most","Opasen char","Unborn","Miracle Goes On, The","Atrapados"
41,53.57,1.28,"Trafico, El","Coffee & Donuts","Biyaya ng lupa","Thunder in Guyana","Groove Requiem in the Key of Ski","Trishagni","Simpsons: Family Portrait, The","Fascinating Nature","Goodnight Bill","Blood of the Beast"
42,64.79,14.66,"Ren Sheng","Na voyne, kak na voyne","Tenamonya yurei dochu","Cabina, La","Michel J","Soy Cuba, O Mamute Siberiano","Thisavros tou makariti, O","Cachorros","Jantjes, De","Chomana Dudi"
19,38.83,249.99,"Familia de tantas, Una","Tino","Whistlin' Dixie","C'est le vent","Sceny narciarskie z Franzem Klammerem","Three Barbecues: A Blackened Comedy","Mirt Sost Shi Amit","Bingo! The Documentary","Freak Orlando","Biyaya ng lupa"
38,100.79,17.76,"Dirty Diamonds","Quintrala, La","Mr. James and the Plug of Mystery","Threshold: The Blue Angels Experience","Fratii Jderi","Masochist","Volshebnoye koltso","Joyce Story, A","River, The","Cashback"
49,84.77,7.65,"Da no tien gu","Escuela de vagabundos","Rani radovi","Pranzo onirico, Il","Menq enq, mer sarere","Class of 83","Portile albastre ale orasului","Sechse kommen durch die Welt","Sveto mesto","Soul to Soul"
68,40.05,7.7,"Story from Bhutan: The Making of 'Travellers & Magicians', A","Ekdromi, I","Embun","Konyok-gorbunok","Mil e Uma","Middle of the Moment","Itim","Leng mian hu","Professor Columbus","Wired 03:36"
35,83.11,98.63,"Innocence Project, The","Meteo","Emily's Last Date","Ren Sheng","Soliloquy","Amants de Teruel, Les","America 101","Biyaya ng lupa","Holly - Bolly","Guarding Eddy"
31,95.77,61.55,"Gardiens de phare","Paperchase in Berlin","Tenamonya yurei dochu","And I Lived","Judy's Time","Perils in Nude Modeling","Cheshmane John Malkovich","Rain, Drizzle, and Fog","Eating","Meet the Stars: Meet Roy Rogers"
54,44.8,22.77,"Bleach","Bingo! The Documentary","Guarding Eddy","Mystic Motel, The","Perfect Candidate, The","Michel J","Offering, The","Merika","Maison de jade, La","Baxter, The"
39,68.98,12.21,"Directing Rye","Superstition","Incredible Manitoba Animation","Fazilet","Paris Chausey","Pictures at an Exhibition","Mr Firecul","Trishagni","Mond im Skorpion","Shans"
47,68.83,19.69,"Gallo de oro, El","Young Americans","Keeper of the Past","Baxter, The","Velvet and Rat Skins","Pee Shy","Bingo! The Documentary","Death by Design: Where Parallel Worlds Meet","Ojos llenos de amor, Los","Nahapet"
46,68.72,1.64,"Celebration: The Music of Pete Townshend and The Who","Erosu purasu Gyakusatsu","Most","Sky of an Archangel","Kaidan Oiwa no borei","Aufbruch, Der","Wide Asleep","Punto y raya","Dosti","Challenge"
62,93.38,49.92,"Atsidas, O","Razor Eaters","Hummingbird","Shiriusu no densetsu","Rain, Drizzle, and Fog","Un festin d'amis","Testament of Tom Jacoby, The","Custodial Code, The","Hammer and Cycle","Sigmund the See Monster"
34,47.67,4.81,"Dosti","Ningen no joken III","Bingo! The Documentary","Justicero, El","Selubung","It's a Bird","Era outra vez","Quintrala, La","Sceny narciarskie z Franzem Klammerem","Miracle des loups, Le"
31,83.31,14.76,"Tak for Alt: Survival of a Human Spirit","Namukku Parkkan Munthiri Thoppukal","Last Stand","Hausu","Trishagni","Professor Columbus","Handicap","Strange Aeons","American Exile","Monster Road"
42,65.13,4.82,"Studie Nr. 10","Ukamau","Rokoko","Offering, The","Custodial Code, The","Blood of the Beast","Fim de Festa","Home for the Bullets, A","P mesle pelican","Chords of Fame"
60,52.51,5.86,"Autorequiem","Beer Muscles","Boy-Next-Door","Complex Sessions, The","Tailspin Tommy in The Great Air Mystery","Buck Privates","Simulacrum","Reasonable Hypothesis, A","Falling Words","Xicu'l toperu"
39,83.03,9.03,"Meteo","Codename: Simon","Weg ist das Spiel, Der","Up for Grabs","How to Be a Model (A 12 Step Plan)","Up for Grabs","Paris minuit","Dark Agent and the Passing of the Torch Chapter 7, The","Matelas, Le","Adaptatziya"
61,50.23,4.16,"Change Up","Genet parle d'Angela Davis","Among Thieves","Stagestruck: Gay Theatre in the 20th Century","Born In Freedom: The Story of Colonel Drake","Nozze di Figaro, Le","Marg Yazdgerd","Handvoll Helden, Eine","Portile albastre ale orasului","Viena"
58,61.18,4.21,"Bear Country","Abduction of Figaro","Sceny narciarskie z Franzem Klammerem","Grande Mentecapto, O","Soliloquy","Radevou ston aera","Evil Surprise, The","His Highness Abdullah","Simulacrum","Groove Requiem in the Key of Ski"
53,56.69,13.67,"Out of the Rain","Planetata na sakrovishtata","Terrorists","Krylya","Last Just Man, The","Andalousie","Sigmund the See Monster","Ai-Fak","Tie Xi Qu: West of the Tracks - Part 3: Rails","Blind"
54,70.44,30.2,"Bint El-Harass","American Exile","Prazdnik svyatogo Yorgena","Udzinarta mze","Snegurochka","Uramisten","Final Solution","Take It Back","Hardwood Process","Birth of a Robot"
59,68.48,6.56,"Blue in Green","That Lady From Peking","Ride","Planetata na sakrovishtata","Miracle Goes On, The","Unconquered, The","Offering, The","Uramisten","Mala","Under-Pup, The"
69,68.49,6.8,"Dieses Jahr in Czernowitz","Stay Clean","Metropolitan","Champions of the World","Overtime","Leng mian hu","Able's House Is Green, The","Inseguito","Krylya","Offering, The"
