Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Tony Frias,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
C.J. Brown,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Craig Capano,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Bryan Namoff,,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,1,0,,2003,post
Brandon Prideaux,,D,2,2,148,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,,2003,post
Richie Williams,,M,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,,2003,post
Alexi Lalas,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Dipsy Selolwane,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Josh Wolff,,F,1,0,46,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,1,0,0,,2003,post
Pablo Mastroeni,,M,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,0,0,0,,2003,post
Nick Garcia,,D,3,3,297,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,5,0,0,0,,2003,post
Chris Brown,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Jose Alegria,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Eliseo Quintanilla,,F-M,2,1,112,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,5,0,1,1,,2003,post
Mark Lisi,,M,2,1,134,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,1,0,,2003,post
Mike Petke,,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,0,1,0,,2003,post
Andrzej Juskowiak,,F,1,1,60,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,4,2,0,0,,2003,post
Stephen Armstrong,,M,3,1,129,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,,2003,post
Ben Olsen,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Daryl Powell,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Joe-Max Moore,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2003,post
Earnie Stewart,,M,2,2,180,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,1,0,0,100.0,2003,post
Zizi Roberts,,F,2,1,114,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,0.0,2003,post
Cobi Jones,,M,2,2,186,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0,0.0,2003,post
Marco Etcheverry,,M,2,2,147,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,8,0,0,0,0.0,2003,post
Carlos Llamosa,,D,3,3,281,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,0,2,0,0.0,2003,post
Hristo Stoitchkov,,F,2,1,100,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,3,2,0,100.0,2003,post
Chris Leitch,,D,2,2,167,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,5,0,0,0,100.0,2003,post
Ronald Cerritos,,F,2,1,111,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,2,0,0,0.0,2003,post
Chris Henderson,,M,2,2,180,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,2,0,0,100.0,2003,post
Steve Jolley,,D,2,2,180,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,1,0,0,0.0,2003,post
Matt Crawford,,M,1,0,45,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,2003,post
Arturo Torres,,F,2,2,179,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,0,1,0,0,100.0,2003,post
Jason Moore,,M,3,1,138,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,6,2,1,0,100.0,2003,post
Alex Zotinca,,D,2,1,90,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,1,0,0,0.0,2003,post
Danny Califf,,D,2,2,186,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,1,0,100.0,2003,post
Jimmy Conrad,,D,3,3,297,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0,100.0,2003,post
Ramiro Corrales,,M,1,1,72,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0,0.0,2003,post
John Wolyniec,,F,1,1,90,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,1,0,0,0.0,2003,post
Todd Dunivant,,D,1,1,90,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,0.0,2003,post
Bobby Convey,,M,2,2,180,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,5,1,0,0,0.0,2003,post
Marshall Leonard,,M,3,3,281,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,2,0,1,0,0.0,2003,post
Ryan Nelsen,,D,2,2,180,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,1,0,0,0,100.0,2003,post
Eddie Robinson,,D,3,3,303,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,5,0,1,0,0.0,2003,post
Joey DiGiamarino,,M,1,1,71,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,0.0,2003,post
Edgar Bartolomeu,,D,1,0,18,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,50.0,2003,post
Craig Waibel,,D,4,3,239,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,2,0,0.0,2003,post
Mike Nugent,,F,1,0,34,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,2003,post
Eric Quill,,F,3,2,185,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,50.0,2003,post
Carlos Bocanegra,,D,4,4,371,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,6,0,0,0,50.0,2003,post
Jim Curtin,,D,4,4,362,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,1,0,50.0,2003,post
Chris Carrieri,,F,2,1,92,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,1,1,0,50.0,2003,post
Santino Quaranta,,M-F,2,1,81,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,5,1,0,0,0.0,2003,post
Dema Kovalenko,,M,2,2,180,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,6,0,1,0,50.0,2003,post
Eddie Pope,,D,2,2,180,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,0.0,2003,post
John Spencer,,F,2,2,180,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,0.0,2003,post
Eddie Gaven,,M,2,1,134,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,66.67,2003,post
Ricardo Clark,,M,2,2,180,0,0,4,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,7,0,1,0,75.0,2003,post
Mike Magee,,M,2,1,86,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,1,0,0,25.0,2003,post
Shalrie Joseph,,M,3,3,281,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,10,0,1,0,50.0,2003,post
Clint Mathis,,M,2,2,180,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,0,1,0,50.0,2003,post
Carey Talley,,D,3,3,297,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,2,0,0,0,25.0,2003,post
Jesse Marsch,,M,4,4,360,0,0,7,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,15,8,0,1,0,42.86,2003,post
Mark Chung,,M,2,2,180,0,0,7,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,9,1,0,0,57.14,2003,post
Alecko Eskandarian,,F,4,4,365,4,1,15,8,0,0/0,1,3,0.99,26.7,0,1,0,0.25,9,8,3,1,0,53.33,2004,post
Jaime Moreno,,F,4,4,389,2,1,5,2,1,0/0,2,0,0.46,40.0,0,0,1,0.23,10,14,0,0,0,40.0,2004,post
Davy Arnaud,,M,4,4,360,2,1,5,2,1,0/0,2,0,0.5,40.0,1,1,0,0.25,11,11,4,1,0,40.0,2004,post
Taylor Twellman,,F,3,3,300,2,0,11,5,0,0/0,0,2,0.6,18.2,0,0,0,0.0,4,11,7,0,0,45.45,2004,post
Earnie Stewart,,M,4,4,321,1,2,1,1,1,0/0,0,1,0.28,100.0,0,2,0,0.56,4,2,4,1,0,100.0,2004,post
Steve Ralston,,M,3,3,300,1,2,2,2,0,1/1,0,1,0.3,50.0,1,1,1,0.6,5,4,0,0,0,100.0,2004,post
Jose Burciaga Jr.,,D,4,4,360,1,1,3,1,0,0/0,1,0,0.25,33.3,0,1,0,0.25,8,5,0,1,0,33.33,2004,post
Jack Jewsbury,,M,4,4,325,1,1,4,3,0,0/0,1,0,0.28,25.0,1,1,0,0.28,4,4,0,1,0,75.0,2004,post
Josh Wolff,,F,4,4,360,1,1,8,4,0,1/1,1,0,0.25,12.5,1,1,0,0.25,7,5,5,0,0,50.0,2004,post
Bryan Namoff,,D,4,4,376,1,0,1,1,0,0/0,1,0,0.24,100.0,0,0,0,0.0,10,1,1,3,0,100.0,2004,post
Tyrone Marshall,,D,3,3,270,1,0,1,1,0,0/0,1,0,0.33,100.0,0,0,0,0.0,4,5,0,0,0,100.0,2004,post
Craig Waibel,,D,2,2,180,1,0,2,1,0,0/0,1,0,0.5,50.0,0,0,0,0.0,2,1,0,0,0,50.0,2004,post
Avery John,,D,3,3,300,1,0,2,1,1,0/0,1,0,0.3,50.0,0,0,0,0.0,8,2,0,2,0,50.0,2004,post
Peguero Jean Philippe,,F,2,2,168,1,0,4,3,1,0/0,1,0,0.54,25.0,0,0,0,0.0,5,4,0,0,0,75.0,2004,post
Edson Buddle,,F,2,1,96,1,0,4,2,0,0/0,1,0,0.94,25.0,0,0,0,0.0,3,1,1,1,0,50.0,2004,post
Dwayne De Rosario,,M,2,2,147,1,0,6,1,1,0/0,1,0,0.61,16.7,0,0,0,0.0,2,2,2,0,0,16.67,2004,post
Khari Stephenson,,M,4,3,211,1,0,6,3,1,0/0,1,0,0.43,16.7,0,0,0,0.0,3,2,0,0,0,50.0,2004,post
Pat Noonan,,F,3,3,300,1,0,8,3,0,0/0,0,1,0.3,12.5,0,0,0,0.0,3,4,2,0,0,37.5,2004,post
Carlos Ruiz,,F,3,3,270,1,0,8,4,1,0/0,1,0,0.33,12.5,0,0,0,0.0,12,9,4,1,0,50.0,2004,post
Christian Gomez,,M,4,4,244,1,0,9,5,0,0/0,1,0,0.37,11.1,0,0,0,0.0,6,3,1,0,0,55.56,2004,post
Joshua Gros,,M-D,4,1,215,0,1,0,0,0,0/0,0,0,0.0,0.0,1,1,0,0.42,7,5,0,1,0,,2004,post
Jeff Agoos,,D,2,2,180,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,0.5,6,3,0,1,0,,2004,post
Brian Carroll,,M,4,4,390,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.23,4,2,0,0,0,,2004,post
Ryan Nelsen,,D,3,3,270,0,1,1,1,0,0/0,0,0,0.0,0.0,1,0,1,0.33,3,5,0,2,0,100.0,2004,post
Igor Simutenkov,,M-F,3,1,117,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,0.77,0,5,0,1,0,0.0,2004,post
Tony Sanneh,,D,2,2,180,0,1,1,1,0,0/1,0,0,0.0,0.0,0,1,0,0.5,1,1,0,0,0,100.0,2004,post
Landon Donovan,,M-F,2,2,180,0,1,2,2,0,0/0,0,0,0.0,0.0,1,1,0,0.5,1,5,0,1,0,100.0,2004,post
Marshall Leonard,,M,3,3,261,0,1,2,1,0,0/0,0,0,0.0,0.0,0,0,1,0.34,2,2,1,0,0,50.0,2004,post
Freddy Adu,,F,3,0,87,0,1,2,2,0,0/0,0,0,0.0,0.0,1,1,0,1.03,3,2,0,1,0,100.0,2004,post
Andy Dorman,,M,3,0,78,0,1,2,2,0,0/0,0,0,0.0,0.0,0,0,1,1.15,0,0,0,0,0,100.0,2004,post
Nat Borchers,,D,2,2,180,0,1,2,0,0,0/0,0,0,0.0,0.0,1,1,0,0.5,1,0,0,0,0,0.0,2004,post
Alex Zotinca,,D,4,4,351,0,1,3,1,0,0/0,0,0,0.0,0.0,0,1,0,0.26,6,5,0,2,0,33.33,2004,post
Chris Albright,,D,3,3,270,0,1,3,1,0,0/0,0,0,0.0,0.0,1,1,0,0.33,2,7,0,0,0,33.33,2004,post
Ben Olsen,,M,4,4,379,0,1,4,2,0,0/0,0,0,0.0,0.0,0,1,0,0.24,10,9,1,3,0,50.0,2004,post
Ross Paule,,M,2,2,180,0,1,5,2,0,0/1,0,0,0.0,0.0,0,1,0,0.5,1,2,0,0,0,40.0,2004,post
Clint Dempsey,,M-F,3,3,300,0,1,5,2,0,0/0,0,0,0.0,0.0,0,0,1,0.3,7,4,0,0,0,40.0,2004,post
Jovan Kirovski,,M-F,3,3,267,0,1,11,4,0,0/0,0,0,0.0,0.0,1,1,0,0.34,5,3,2,0,0,36.36,2004,post
Andreas Herzog,,M-F,1,0,30,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,1,0,,2004,post
Jeff Cunningham,,F,2,0,69,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,1,0,0,,2004,post
Cobi Jones,,M,3,2,142,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0,,2004,post
Eddie Pope,,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,1,0,,2004,post
Santino Quaranta,,M-F,2,0,15,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Craig Ziadie,,D,1,1,58,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2004,post
Jay Heaps,,D,3,3,300,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,5,0,1,0,,2004,post
Brian Kamler,,M,1,0,39,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Rusty Pierce,,D,3,3,300,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,1,0,,2004,post
Eliseo Quintanilla,,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Dante Washington,,F,2,1,85,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,1,0,0,,2004,post
Nelson Akwari,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Brandon Prideaux,,D,2,0,47,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2004,post
Eric Denton,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Chris Leitch,,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,0,0,0,,2004,post
Mark Lisi,,M,2,0,41,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2004,post
Nick Garcia,,D,4,4,360,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,4,0,0,0,,2004,post
Chris Brown,,M-F,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Francisco Gomez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Troy Dayak,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Manny Lagos,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Alejandro Moreno,,F,2,1,73,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,0,0,0,,2004,post
Brian Mullan,,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,6,0,1,0,,2004,post
Eddie Robinson,,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Chris Roner,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Ezra Hendrickson,,D,2,1,142,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2004,post
Robin Fraser,,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,,2004,post
Wes Hart,,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Ritchie Kotschau,,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,4,0,2,0,,2004,post
Seth Trembly,,M-D,2,0,36,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,0,0,,2004,post
Paul Broome,,M,3,2,209,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,5,0,2,0,,2004,post
Ryan Suarez,,D,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Joselito Vaca,,M,1,0,14,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2004,post
Luke Vercollone,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Rey Angel Martinez,,F,1,0,15,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2004,post
Michael Ritch,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Brian Roberts,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
David Stokes,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Gary Sullivan,,D,2,0,14,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Fabian Taylor,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
David Testo,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Bobby Thompson,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Jason Thompson,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Roger Levesque,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Josh Gardner,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Chris Aloisi,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Kevin Ara,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Kenny Arena,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Richie Baker,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Perek Belleh,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Justin Detter,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Tighe Dombrowski,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Michael Erush,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Gilberto Flores,,M,1,1,30,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,1,0,,2004,post
Antonio de la Torre,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Tim Lawson,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Seth Stammler,,M-D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Todd Dunivant,,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,,2004,post
Tim Regan,,D,1,1,75,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,,2004,post
Taylor Graham,,D,2,0,31,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2004,post
Shavar Thomas,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Alan Gordon,,F,1,0,2,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Arturo Alvarez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Ryan Cochrane,,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,,2004,post
Jamil Walker,,M-F,1,0,4,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Ned Grabavoy,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Michael Bradley,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Felix Brillant,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2004,post
Chad Marshall,,D,2,2,180,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,1,0,0,0.0,2004,post
Joseph Ngwenya,,F,1,1,57,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,0.0,2004,post
Matt Taylor,,F,1,0,23,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,100.0,2004,post
Jeff Parke,,D,2,2,180,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,100.0,2004,post
Ricky Lewis,,D,2,2,167,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,0.0,2004,post
Alberto Delgado,,F,1,0,12,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,0.0,2004,post
Sergio Galvan Rey,,F,2,0,70,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,100.0,2004,post
Jordan Cila,,F-M,2,2,163,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,1,0,0,0.0,2004,post
Matt Crawford,,M,2,2,180,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,8,0,0,0,0.0,2004,post
Arturo Torres,,F,2,0,67,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,0.0,2004,post
Diego Walsh,,M,3,0,22,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0.0,2004,post
Chris Henderson,,M,2,2,179,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,1,1,0,0,0.0,2004,post
Ian Russell,,D,2,1,117,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,0,0,0.0,2004,post
Shalrie Joseph,,M,3,3,300,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,7,0,2,0,100.0,2004,post
Kyle Martino,,M,2,2,159,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,8,0,1,0,100.0,2004,post
Duncan Oughton,,D,2,2,180,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,3,0,0,0,0.0,2004,post
Pablo Mastroeni,,M,2,2,180,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,0,1,0,0.0,2004,post
Mike Petke,,D,4,4,390,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,1,0,0,0,0.0,2004,post
Frankie Hejduk,,D,2,2,180,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,0,1,0,0.0,2004,post
Peter Vagenas,,M,3,3,270,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,1,0,0.0,2004,post
Sasha Victorine,,M,3,3,261,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,5,0,0,0,50.0,2004,post
Richard Mulrooney,,M,1,1,90,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,0,0,100.0,2004,post
Eddie Gaven,,M,2,2,180,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,5,0,0,0,50.0,2004,post
Mark Chung,,M,2,2,180,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,4,0,0,0,100.0,2004,post
Danny Califf,,D,3,3,258,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,1,0,50.0,2004,post
